Country,2022_consumption,happiness_score,Continent
Finland,20,7821,Europe
Denmark,20,7636,Europe
Switzerland,20,7512,Europe
Netherlands,60,7415,Europe
Sweden,60,7384,Europe
New Zealand,100,7200,Oceania
Australia,450,7162,Oceania
Germany,390,7034,Europe
Canada,200,7025,North America
United States of America,3320,6977,North America
United Kingdom,2990,6943,Europe
Czech Republic,70,6920,Europe
Belgium,20,6805,Europe
France,110,6687,Europe
Costa Rica,10,6582,North America
Saudi Arabia,870,6523,Asia
Taiwan,880,6512,Asia
Singapore,130,6480,Asia
Spain,90,6476,Europe
Italy,40,6467,Europe
Brazil,2830,6293,South America
Kazakhstan,360,6234,Asia
Serbia,50,6178,Europe
Chile,60,6172,South America
Mexico,1510,6128,North America
Poland,380,6123,Europe
Hungary,40,6086,Europe
Uzbekistan,210,6063,Asia
Japan,5980,6039,Asia
Argentina,10,5967,South America
South Korea,3950,5935,Asia
Philippines,4290,5904,Asia
Thailand,3870,5891,Asia
Colombia,50,5781,South America
Malaysia,1550,5711,Asia
China,45070,5585,Asia
Peru,170,5559,South America
Russia,2200,5459,Europe
Nepal,1650,5377,Asia
Indonesia,14260,5240,Asia
South Africa,480,5194,Africa
Bangladesh,440,5155,Asia
Iran,70,4888,Asia
Turkey,420,4744,Asia
Cambodia,400,4640,Asia
Nigeria,2790,4552,Africa
Kenya,130,4543,Africa
Pakistan,240,4516,Asia
Myanmar,770,4394,Asia
Sri Lanka,200,4362,Asia
Egypt,460,4288,Africa
Ethiopia,140,4241,Africa
India,7580,3777,Asia
